"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**";"via_09_07";32;"Val**";;;
2;"";"LOGO_OPENHARDWARE_8x8";1;"";;;
3;"";"OLIMEX_LOGO_TB";1;"";;;
4;"";"LOGO_RECYCLEBIN_1";1;"";;;
5;"";"LOGO_PBFREE";1;"";;;
6;"Ref**";"LOGO_ANTISTATIC_SMALL_4.5mmX2.8mm";1;"Val**";;;
7;"SJ1";"R_0603_5MIL_0R(Board_Mounted)";1;"SJ_Closed";;;
8;"CON1";"HN1x13";1;"CON14";;;
9;"";"OLIMEX_LOGO_SMALL_TB";1;"";;;
10;"R1";"R_0603_5MIL_0R(Board_Mounted)";1;"0R";;;
11;"CON3";"UEXTF";1;"BH10S";;;
12;"U1";"TSSOP28-PW";1;"ADS1262";;;
13;"Ref*";"Fiducial1x3_transp";1;"Val**";;;
14;"CON2";"HN1x10";1;"CON10";;;
15;"C3,C1,C2";"C_0603_5MIL_DWS";3;"100nF";;;
16;"C4,C6,C21,C22";"C_0603_5MIL_DWS";4;"1uF";;;
17;"C5";"C_0603_5MIL_DWS";1;"4.7nF";;;
18;"R2";"R_0603_5MIL_DWS";1;"1K";;;
19;"C18";"C_0603_5MIL_DWS";1;"22uF/6.3V";;;
20;"C19";"C_0603_5MIL_DWS";1;"22uF/10V";;;
21;"D1,D3";"SOD-123_KA";2;"1N5819/SS14";;;
22;"FB1";"L_0603_5MIL_DWS";1;"FB0603";;;
23;"L1";"SD73";1;"CL10 10uH SD73";;;
24;"R17";"R_0603_5MIL_DWS";1;"12.1K_1%";;;
25;"R18,R28";"R_0603_5MIL_DWS";2;"1.05K_1%";;;
26;"R27";"R_0603_5MIL_DWS";1;"5.6K_1%";;;
27;"U2";"SOT23-6";1;"MT3608(SOT23-6)";;;
28;"U3";"SOT-23-5";1;"AP2127K-ADJ";;;
